# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
luo li kong 	蘿莉控	c=1 d=4.3755e-12 t=25120
luo mei 	羅妹	c=1 d=6.38802e-52 t=25120
luo shui 	落水	c=4 d=0.127454 t=25120
luo si 	螺絲	c=0 d=3.63008e-51 t=25120
luo si pi 	螺絲批	c=1 d=3.64828e-50 t=25120
luo tuo 	駱駝	c=1 d=9.61117e-05 t=25120
lv 	率	c=0 d=3.521e-45 t=25120
lv ba 	綠壩	c=1 d=1.42371e-09 t=25120
lv deng 	綠燈	c=1 d=1.10916e-13 t=25120
lv dian 	旅店	c=3 d=2.18958 t=25120
lv dou 	綠豆	c=1 d=0.106459 t=25120
lv jiao 	綠教	c=2 d=0.0981703 t=25120
lv jing 	濾鏡	c=1 d=0.0572688 t=25120
lv ka 	綠卡	c=1 d=9.52657e-48 t=25120
lv se 	綠色	c=1 d=0.481909 t=25120
lv shi 	律師	c=0 d=1.96257e-51 t=25120
lv shi xin 	律師信	c=2 d=4.07728e-50 t=25120
lv you 	旅遊	c=1 d=0.0010701 t=25120
lve 	略	c=1 d=6.63177e-22 t=25120
ma 	嗎	c=41 d=0.088797 t=25120
ma 	嘛	c=26 d=0.552028 t=25120
ma 	媽	c=1 d=1.12865e-12 t=25120
ma 	瑪	c=1 d=1.17896e-25 t=25120
ma 	碼	c=0 d=2.88422e-51 t=25120
ma 	罵	c=1 d=5.50794e-14 t=25120
ma 	馬	c=4 d=7.39769e-05 t=25120
ma che 	馬車	c=1 d=0.117068 t=25120
ma da 	馬達	c=1 d=5.98601e-52 t=25120
ma dan 	媽蛋	c=5 d=0.348192 t=25120
ma dan 	馬但	c=1 d=1.57773e-41 t=25120
ma de 	媽的	c=4 d=0.00112285 t=25120
ma de zhi zhang 	媽的智障	c=3 d=0.10472 t=25120
ma fan 	麻煩	c=5 d=1.07138e-17 t=25120
ma feng 	罵瘋	c=1 d=7.61514e-31 t=25120
ma ge han 	瑪格漢	c=1 d=5.10996e-14 t=25120
ma hua teng 	馬化騰	c=1 d=0.429557 t=25120
ma jie 	罵街	c=1 d=4.53058e-10 t=25120
ma la dun 	瑪拉頓	c=1 d=2.75834e-25 t=25120
ma la song 	馬拉松	c=3 d=1.68805e-42 t=25120
ma lv 	碼率	c=1 d=1.57205e-28 t=25120
ma ma 	媽媽	c=2 d=0.173774 t=25120
ma niang 	罵娘	c=1 d=1.30113e-38 t=25120
ma sai ke 	馬賽克	c=6 d=1.30732e-41 t=25120
ma sha la di 	瑪莎拉蒂	c=2 d=1.23779e-16 t=25120
ma ta 	馬塔	c=5 d=0.148081 t=25120
ma tong 	馬桶	c=1 d=7.20761e-31 t=25120
ma tou 	碼頭	c=1 d=3.70353e-21 t=25120
ma wei 	馬尾	c=1 d=5.02414e-50 t=25120
ma xi tuan 	馬戲團	c=2 d=6.6079e-09 t=25120
ma ying jiu 	馬英九	c=1 d=8.25921e-45 t=25120
mai 	買	c=91 d=0.701174 t=25120
mai 	賣	c=23 d=0.491644 t=25120
mai cai 	買菜	c=1 d=2.86895e-17 t=25120
mai chang 	賣場	c=1 d=2.11765e-33 t=25120
mai dan 	買單	c=2 d=8.10277e-18 t=25120
mai di 	買地	c=1 d=1.40878e-32 t=25120
mai duan 	買斷	c=1 d=1.57018e-14 t=25120
mai guo 	買過	c=2 d=6.73672e-30 t=25120
mai le 	買了	c=4 d=3.14994e-28 t=25120
mai lou 	買樓	c=1 d=1.12923e-18 t=25120
mai ma 	買馬	c=1 d=1.14038e-16 t=25120
mai mai 	買買	c=3 d=4.29179e-33 t=25120
mai mai 	買賣	c=1 d=3.84407e-18 t=25120
mai mai mai 	買買買	c=20 d=6.55943e-07 t=25120
mai shen 	賣身	c=1 d=2.16234e-14 t=25120
mai tou ku gan 	埋頭苦幹	c=1 d=3.21084e-18 t=25120
mai xia 	埋下	c=1 d=4.31256e-18 t=25120
mai xia 	買下	c=1 d=1.95957e-32 t=25120
mai zhang 	買張	c=1 d=8.97178e-48 t=25120
man 	慢	c=4 d=6.7985e-21 t=25120
man 	曼	c=1 d=1.41074e-19 t=25120
man 	滿	c=9 d=0.507018 t=25120
man 	漫	c=3 d=1.08405e-31 t=25120
man 	蠻	c=1 d=2.49797e-35 t=25120
man che si te 	曼徹斯特	c=5 d=2.65699e-10 t=25120
man cheng 	曼城	c=1 d=5.01133e-20 t=25120
man cun 	曼村	c=1 d=4.4962e-38 t=25120
man fen 	滿分	c=1 d=7.6956e-37 t=25120
man hua 	漫畫	c=2 d=6.24238e-16 t=25120
man ji 	滿級	c=1 d=5.39085e-33 t=25120
man li 	蠻力	c=0 d=5.38402e-12 t=25120
man li nan 	蠻力難	c=1 d=5.41101e-11 t=25120
man lian 	曼聯	c=16 d=0.100721 t=25120
man man 	慢慢	c=1 d=1.34867e-19 t=25120
man shi 	曼市	c=1 d=3.35042e-48 t=25120
man tai 	曼擡	c=1 d=3.6743e-16 t=25120
man wan 	曼晚	c=1 d=3.81502e-17 t=25120
man wei 	漫威	c=1 d=1.47007e-33 t=25120
man yi 	滿意	c=1 d=2.54445e-46 t=25120
man you 	漫遊	c=1 d=5.7189e-15 t=25120
mang shua 	盲刷	c=1 d=7.42206e-23 t=25120
mao 	冇	c=126 d=1.49524 t=25120
mao 	毛	c=15 d=0.171117 t=25120
mao 	貓	c=3 d=4.7549e-26 t=25120
mao cuo 	冇錯	c=1 d=1.75545e-32 t=25120
mao dian 	冇電	c=1 d=7.54964e-47 t=25120
mao fa 	冇法	c=1 d=5.48123e-45 t=25120
mao le 	冇了	c=1 d=0.187308 t=25120
mao ming 	冇命	c=1 d=6.46452e-45 t=25120
mao nang 	毛囊	c=2 d=2.36336e-36 t=25120
mao ren 	冇人	c=2 d=0.826959 t=25120
mao ren 	貓人	c=1 d=1.85375e-26 t=25120
mao shi 	冇事	c=3 d=7.64029e-11 t=25120
mao si 	貌似	c=9 d=0.449329 t=25120
mao xi 	冇戲	c=1 d=7.92027e-52 t=25120
mao xian 	毛線	c=3 d=1.17348e-29 t=25120
mao xiang 	貌相	c=1 d=1.21697e-16 t=25120
mao xin yu 	毛新宇	c=1 d=4.59172e-50 t=25120
mao yi 	貿易	c=1 d=0.235746 t=25120
mao yi zhan 	貿易站	c=1 d=2.82864e-27 t=25120
mao zi 	帽子	c=1 d=6.67431e-09 t=25120
mao zi 	毛子	c=2 d=6.2445e-20 t=25120
me 	麼	c=3 d=9.03737e-39 t=25120
mei 	妹	c=6 d=1.32264e-25 t=25120
mei 	媒	c=1 d=7.71971e-15 t=25120
mei 	梅	c=1 d=1.90816e-23 t=25120
mei 	沒	c=89 d=2.16725 t=25120
mei 	美	c=1 d=4.46541e-16 t=25120
mei ba 	沒把	c=2 d=2.64023e-09 t=25120
mei ban 	美版	c=2 d=1.15361e-34 t=25120
mei ci 	每次	c=2 d=1.42699e-45 t=25120
mei cuo 	沒錯	c=1 d=0.000284437 t=25120
mei de 	沒得	c=0 d=3.23243e-39 t=25120
mei de bi 	沒得比	c=1 d=3.24863e-38 t=25120
mei di 	美帝	c=7 d=3.23201e-07 t=25120
mei fa 	沒法	c=1 d=0.00527382 t=25120
mei fan ying 	沒反應	c=1 d=9.81837e-50 t=25120
mei fen zhong 	每分鐘	c=2 d=1.78478e-12 t=25120
mei fu 	美服	c=2 d=1.14353e-19 t=25120
mei ge 	每個	c=1 d=9.57952e-25 t=25120
mei gui 	玫瑰	c=0 d=0.0017953 t=25120
mei gui jia 	玫瑰家	c=1 d=0.018043 t=25120
mei guo 	美國	c=3 d=0.00162866 t=25120
mei hao 	美好	c=1 d=2.56923e-13 t=25120
mei hua 	梅花	c=0 d=4.59906e-11 t=25120
mei hua yuan 	梅花園	c=1 d=4.62211e-10 t=25120
mei huo 	沒貨	c=1 d=6.15573e-28 t=25120
mei ji 	每集	c=1 d=4.05934e-12 t=25120
mei jia 	每家	c=1 d=7.33798e-36 t=25120
mei jiao 	沒交	c=1 d=3.8514e-11 t=25120
mei jin 	美金	c=2 d=0.00148848 t=25120
mei ju 	美劇	c=3 d=0.0593087 t=25120
mei kan 	沒看	c=1 d=1.06419e-26 t=25120
mei kong 	妹控	c=1 d=1.23343e-27 t=25120
mei lai yan qu 	眉來眼去	c=1 d=9.80167e-30 t=25120
mei le 	沒了	c=1 d=1.00327e-09 t=25120
mei lian 	沒臉	c=1 d=3.18929e-27 t=25120
mei mai 	沒買	c=3 d=1.43615e-28 t=25120
mei mei 	妹妹	c=3 d=1.01504e-39 t=25120
mei miao 	美妙	c=1 d=2.36107e-19 t=25120
mei miao zhong 	每秒鐘	c=1 d=1.94575e-37 t=25120
mei nian 	每年	c=5 d=5.27699e-07 t=25120
mei qiu wang 	梅球王	c=1 d=1.76731e-23 t=25120
mei ren 	沒人	c=8 d=0.00204099 t=25120
mei ren kan 	沒人看	c=1 d=5.07825e-29 t=25120
mei ri 	每日	c=1 d=4.38818e-46 t=25120
mei shan 	沒刪	c=1 d=3.06059e-13 t=25120
mei shen me 	沒什麼	c=1 d=3.43231e-38 t=25120
mei shi 	沒事	c=2 d=2.31866e-41 t=25120
mei shi jian 	沒時間	c=2 d=1.00532e-33 t=25120
mei ti 	媒體	c=2 d=0.000127168 t=25120
mei tian 	每天	c=1 d=4.26515e-35 t=25120
mei wan 	沒完	c=0 d=7.40668e-29 t=25120
mei wan 	沒玩	c=1 d=2.08435e-23 t=25120
mei wan cheng 	沒完成	c=1 d=2.35611e-53 t=25120
mei wan guo 	沒完過	c=1 d=7.44381e-28 t=25120
mei xi 	沒戲	c=3 d=1.83635e-52 t=25120
mei yi 	梅姨	c=3 d=0.0125254 t=25120
mei yong 	沒用	c=6 d=0.000187825 t=25120
mei you 	沒有	c=29 d=6.78134e-06 t=25120
mei you zhi yi 	沒有之一	c=1 d=1.79897e-26 t=25120
mei yuan 	美元	c=1 d=0.00168667 t=25120
mei yue 	每月	c=3 d=5.24311e-17 t=25120
mei zhi 	妹紙	c=6 d=1.95262e-10 t=25120
mei zhou 	每週	c=2 d=9.37546e-07 t=25120
mei zi 	妹子	c=8 d=7.37721e-25 t=25120
mei zu 	魅族	c=1 d=1.72215e-42 t=25120
men 	們	c=12 d=0.13837 t=25120
men 	門	c=2 d=0.0278757 t=25120
men kan 	門檻	c=1 d=6.77381e-36 t=25120
men kou 	門口	c=1 d=7.28195e-42 t=25120
men piao 	門票	c=1 d=6.05377e-08 t=25120
men wai 	門外	c=1 d=1.19759e-33 t=25120
men xian 	門線	c=1 d=8.29214e-33 t=25120
meng 	夢	c=1 d=0.0184997 t=25120
meng 	猛	c=1 d=2.49805e-06 t=25120
meng 	萌	c=1 d=2.8005e-27 t=25120
meng fei si 	孟菲斯	c=1 d=9.10118e-40 t=25120
meng mei zhi 	萌妹紙	c=1 d=2.22086e-34 t=25120
meng xin 	萌新	c=1 d=8.18426e-26 t=25120
mi 	咪	c=2 d=1.94178e-13 t=25120
mi 	密	c=1 d=1.12516e-05 t=25120
mi 	米	c=3 d=1.46376e-35 t=25120
mi bao 	密保	c=1 d=6.80544e-32 t=25120
mi er 	米爾	c=0 d=0.029523 t=25120
mi ma 	密碼	c=17 d=8.98416e-11 t=25120
mian 	麪	c=2 d=3.00733e-34 t=25120
mian de 	免得	c=2 d=2.09701e-06 t=25120
mian fei 	免費	c=10 d=3.80749e-07 t=25120
mian ji 	面積	c=1 d=1.01125e-14 t=25120
mian pi 	麪皮	c=2 d=3.98858e-11 t=25120
mian qu 	免驅	c=1 d=0.000599149 t=25120
mian shi 	面試	c=1 d=2.18742e-32 t=25120
mian shou 	免收	c=0 d=4.43228e-47 t=25120
mian shou qu 	免收取	c=1 d=4.4545e-46 t=25120
mian xiang 	面向	c=1 d=3.7595e-21 t=25120
miao 	喵	c=4 d=2.77351e-05 t=25120
miao 	秒	c=16 d=2.19979 t=25120
miao cui jiao 	秒脆角	c=1 d=5.75344e-27 t=25120
miao miao 	喵喵	c=0 d=5.94925e-10 t=25120
miao miao miao 	喵喵喵	c=2 d=2.19951e-06 t=25120
miao shu 	描述	c=1 d=1.32512e-47 t=25120
miao xiao 	渺小	c=1 d=0.000142667 t=25120
mie 	乜	c=29 d=1.32027 t=25120
mie 	咩	c=18 d=6.52133e-11 t=25120
mie wen 	滅蚊	c=1 d=7.7584e-15 t=25120
min 	敏	c=2 d=2.64065e-52 t=25120
min diao 	民調	c=2 d=0.00176558 t=25120
min feng 	民風	c=1 d=4.51874e-38 t=25120
min gan 	敏感	c=1 d=2.90924e-34 t=25120
min jie 	敏捷	c=1 d=9.13591e-26 t=25120
min tui 	民退	c=1 d=0.109154 t=25120
min zhong 	民衆	c=2 d=0.23402 t=25120
min zhu 	民主	c=1 d=6.41042e-06 t=25120
min zu zhu yi 	民族主義	c=1 d=2.15332e-53 t=25120
ming 	名	c=1 d=1.11856e-25 t=25120
ming 	命	c=3 d=2.92324e-23 t=25120
ming 	明	c=2 d=1.04909e-05 t=25120
ming an 	命案	c=1 d=1.2719e-06 t=25120
ming bai 	明白	c=1 d=4.00981e-44 t=25120
ming bei 	命背	c=1 d=6.62817e-45 t=25120
ming bu xu chuan 	名不虛傳	c=1 d=1.0788e-10 t=25120
ming ci 	名詞	c=1 d=2.51999e-50 t=25120
ming dan 	名單	c=3 d=0.0111283 t=25120
ming diao 	明雕	c=1 d=0.918512 t=25120
ming e 	名額	c=1 d=2.60257e-47 t=25120
ming fu qi shi 	名副其實	c=2 d=1.42492e-19 t=25120
ming ling 	命令	c=2 d=9.5996e-20 t=25120
ming ling hang 	命令行	c=2 d=0.000309325 t=25120
ming ming 	明明	c=15 d=0.774916 t=25120
ming nian 	明年	c=2 d=0.0121552 t=25120
ming sheng 	名聲	c=1 d=1.66614e-06 t=25120
ming su 	名宿	c=2 d=0.369723 t=25120
ming tian 	明天	c=9 d=1.29178e-12 t=25120
ming tu duo chuan 	命途多舛	c=1 d=1.57446e-46 t=25120
ming xian 	明顯	c=6 d=0.00194986 t=25120
ming xing 	明星	c=1 d=4.43469e-23 t=25120
ming yan 	名言	c=1 d=1.57072e-18 t=25120
ming yue guang 	明月光	c=0 d=0.00596059 t=25120
ming zi 	名字	c=4 d=6.73909e-05 t=25120
mo 	莫	c=1 d=0.00260584 t=25120
mo 	魔	c=1 d=3.53022e-16 t=25120
mo 	默	c=1 d=2.57229e-27 t=25120
mo ai 	默哀	c=1 d=4.28799e-39 t=25120
mo deng 	摩登	c=1 d=1.73226e-52 t=25120
mo fa 	魔法	c=0 d=1.48358e-24 t=25120
mo fa gong ji 	魔法攻擊	c=1 d=1.49102e-23 t=25120
mo gu shan 	魔古山	c=1 d=8.82168e-26 t=25120
mo mie 	磨滅	c=1 d=3.98574e-32 t=25120
mo ming 	莫名	c=2 d=2.58419e-39 t=25120
mo ming qi miao 	莫名其妙	c=1 d=5.9862e-23 t=25120
mo mo 	默默	c=2 d=6.50731e-06 t=25120
mo mo di 	默默地	c=1 d=6.53992e-05 t=25120
mo na ge 	摩納哥	c=1 d=4.12407e-51 t=25120
mo ni qi 	模擬器	c=1 d=3.1003e-47 t=25120
mo qi 	末期	c=3 d=1.2454e-23 t=25120
mo ren 	默認	c=4 d=1.12107e-21 t=25120
mo shi 	模式	c=15 d=0.220234 t=25120
mo shou 	魔獸	c=2 d=4.52418e-08 t=25120
mo shou shi jie 	魔獸世界	c=2 d=1.61366e-30 t=25120
mo shou zheng ba 	魔獸爭霸	c=1 d=2.66627e-08 t=25120
mo si ke 	莫斯科	c=1 d=4.57597e-39 t=25120
mo te 	模特	c=1 d=1.57693e-35 t=25120
mo xing 	模型	c=3 d=9.52397e-24 t=25120
mo xu you 	莫須有	c=1 d=7.06489e-31 t=25120
mo ye 	莫爺	c=4 d=1.27817e-42 t=25120
mo zhe 	摸着	c=1 d=1.7801e-49 t=25120
mou 	某	c=8 d=0.000611253 t=25120
mou di 	某地	c=2 d=1.78598e-29 t=25120
mou mou 	某某	c=1 d=1.13817e-52 t=25120
mou tian 	某天	c=1 d=0.00375375 t=25120
mou xie 	某些	c=3 d=3.25604e-06 t=25120
mu 	穆	c=2 d=1.73833e-05 t=25120
mu biao 	目標	c=4 d=0.113042 t=25120
mu ce 	目測	c=6 d=2.32917e-06 t=25120
mu chan 	畝產	c=1 d=0.0632918 t=25120
mu deng kou dai 	目瞪口呆	c=1 d=0.386741 t=25120
mu du 	目睹	c=1 d=8.53422e-48 t=25120
mu hou 	幕後	c=1 d=4.08664e-32 t=25120
mu lu 	目錄	c=5 d=6.92269e-15 t=25120
mu ma 	木馬	c=6 d=1.04775e-44 t=25120
mu niao 	穆鳥	c=1 d=1.16623e-15 t=25120
mu qian 	目前	c=4 d=1.53037e-06 t=25120
mu qian wei zhi 	目前爲止	c=1 d=1.54575e-06 t=25120
mu se 	暮色	c=1 d=0.000114493 t=25120
na 	哪	c=13 d=0.000804733 t=25120
na 	娜	c=1 d=0.00271874 t=25120
na 	拿	c=5 d=1.82901e-15 t=25120
na 	那	c=30 d=0.236928 t=25120
na bian 	那邊	c=1 d=1.38159e-38 t=25120
na ge 	哪個	c=2 d=0.000413853 t=25120
na ge 	那個	c=27 d=1.82603e-12 t=25120
na guan 	那關	c=1 d=3.85271e-15 t=25120
na hui 	那會	c=1 d=4.85397e-27 t=25120
na jian 	哪間	c=1 d=1.16097e-50 t=25120
na jiu 	那就	c=1 d=3.39816e-38 t=25120
na kuai 	那塊	c=1 d=1.11913e-30 t=25120
na le 	拿了	c=1 d=0.358796 t=25120
na li 	那裏	c=4 d=1.38257e-17 t=25120
na me 	那麼	c=12 d=0.00151432 t=25120
na na 	娜娜	c=3 d=1.88113e-22 t=25120
na ni 	那你	c=1 d=1.50523e-17 t=25120
na nian 	那年	c=1 d=0.261846 t=25120
na qu 	拿去	c=1 d=4.40807e-11 t=25120
na ren 	那人	c=1 d=0.0113334 t=25120
na shi 	那是	c=2 d=1.75574e-34 t=25120
na shi 	那時	c=1 d=1.33112e-12 t=25120
na shi hou 	那時候	c=2 d=3.67993e-34 t=25120
na shui 	納稅	c=1 d=0.166127 t=25120
na si 	納斯	c=0 d=5.43241e-29 t=25120
na tao 	那套	c=1 d=1.45168e-32 t=25120
na wa si 	拿瓦斯	c=1 d=1.22937e-47 t=25120
na wei 	那位	c=1 d=1.61965e-26 t=25120
na xie 	那些	c=16 d=8.70395e-15 t=25120
na zhong 	哪種	c=1 d=7.36073e-43 t=25120
na zhong 	那種	c=3 d=1.73351e-31 t=25120
nai 	奈	c=0 d=5.99353e-09 t=25120
nai 	奶	c=1 d=0.00423234 t=25120
nai 	耐	c=1 d=3.98371e-26 t=25120
nai ba 	奶爸	c=2 d=2.94638e-25 t=25120
nai cha 	奶茶	c=0 d=2.30867e-50 t=25120
nai cha dong 	奶茶東	c=2 d=7.0991e-29 t=25120
nai he 	奈何	c=1 d=6.0548e-10 t=25120
nai ma 	奶媽	c=1 d=0.000483239 t=25120
nai nai 	奶奶	c=1 d=1.14571e-12 t=25120
nai xing 	耐性	c=1 d=4.83897e-20 t=25120
nan 	男	c=4 d=1.06127e-23 t=25120
nan 	難	c=10 d=0.00504176 t=25120
nan dao 	難道	c=15 d=0.193012 t=25120
nan di 	難敵	c=1 d=1.84865e-23 t=25120
nan du 	難度	c=2 d=0.0049667 t=25120
nan hai 	南海	c=2 d=0.74456 t=25120
nan hai zhen 	南海鎮	c=1 d=0.38868 t=25120
nan ji 	南極	c=1 d=1.14388e-52 t=25120
nan mai 	難買	c=1 d=3.66188e-28 t=25120
nan min 	難民	c=1 d=2.59276e-32 t=25120
nan nv 	男女	c=1 d=3.7111e-45 t=25120
nan piao 	男票	c=1 d=1.92711e-12 t=25120
nan shan 	南山	c=4 d=0.064894 t=25120
nan sheng 	男生	c=1 d=3.15155e-34 t=25120
nan wan 	難玩	c=1 d=6.61331e-48 t=25120
nan xia 	南下	c=1 d=0.0125881 t=25120
nan xing 	男性	c=1 d=3.05424e-18 t=25120
nan you 	男友	c=1 d=4.25994e-50 t=25120
nan zhao 	難找	c=1 d=6.35724e-54 t=25120
nan zhu 	男主	c=2 d=5.4842e-22 t=25120
nao 	腦	c=2 d=2.07466e-27 t=25120
nao 	鬧	c=1 d=2.08506e-27 t=25120
nao bu 	腦補	c=1 d=3.00714e-41 t=25120
nao can 	腦殘	c=3 d=5.2872e-09 t=25120
nao can fen 	腦殘粉	c=6 d=1.15384e-07 t=25120
nao dai 	腦袋	c=1 d=1.40223e-36 t=25120
nao zhong 	鬧鐘	c=1 d=0.0247235 t=25120
ne 	呢	c=21 d=0.0077778 t=25120
nei 	內	c=2 d=6.02834e-14 t=25120
nei ce 	內側	c=1 d=1.30832e-44 t=25120
nei cun 	內存	c=10 d=6.65854e-10 t=25120
nei di 	內地	c=1 d=3.83545e-36 t=25120
nei di sheng 	內地生	c=1 d=3.53624e-36 t=25120
nei jian 	內奸	c=2 d=2.60354e-22 t=25120
nei qie 	內切	c=1 d=8.58924e-06 t=25120
nei rong 	內容	c=1 d=0.70822 t=25120
nei wang 	內網	c=2 d=1.47096e-42 t=25120
nei xin 	內心	c=2 d=1.58488e-06 t=25120
nei yi 	內衣	c=1 d=2.86106e-14 t=25120
nei zhan 	內戰	c=1 d=6.25215e-05 t=25120
neng 	能	c=38 d=0.565874 t=25120
neng bu neng 	能不能	c=6 d=0.874336 t=25120
neng li 	能力	c=2 d=3.8236e-14 t=25120
ni 	你	c=526 d=5.23627 t=25120
ni 	泥	c=1 d=2.70418e-27 t=25120
ni da ye 	你大爺	c=1 d=6.93584e-20 t=25120
ni dai 	你帶	c=1 d=7.04426e-26 t=25120
ni dan tong 	你蛋痛	c=1 d=1.49717e-42 t=25120
ni de 	你的	c=7 d=9.26136e-10 t=25120
ni di 	你地	c=3 d=2.20108e-17 t=25120
ni die 	你爹	c=2 d=5.45865e-24 t=25120
ni dong de 	你懂得	c=1 d=6.64894e-23 t=25120
ni dou 	你都	c=1 d=1.28844e-11 t=25120
ni hao 	你好	c=11 d=0.0672056 t=25120
ni hong 	霓虹	c=4 d=3.54709e-20 t=25120
ni ma 	你嗎	c=1 d=1.96297e-23 t=25120
ni ma 	尼瑪	c=8 d=0.0108466 t=25120
ni mei 	你妹	c=8 d=0.93665 t=25120
ni men 	你們	c=26 d=0.000477341 t=25120
ni meng 	你萌	c=3 d=5.44091e-15 t=25120
ni mo 	你魔	c=5 d=8.57144e-11 t=25120
ni shi 	你是	c=3 d=5.55233e-19 t=25120
ni shi dui de 	你是對的	c=1 d=2.53572e-35 t=25120
ni tian 	逆天	c=5 d=0.329559 t=25120
ni xiang 	你想	c=1 d=2.72245e-18 t=25120
ni ying le 	你贏了	c=1 d=7.01151e-30 t=25120
ni zhuan 	逆轉	c=1 d=6.55106e-25 t=25120
nian 	唸	c=1 d=0.000247277 t=25120
nian 	年	c=36 d=1.08541 t=25120
nian chu 	年初	c=1 d=2.35418e-14 t=25120
nian dai 	年代	c=2 d=7.79464e-11 t=25120
nian di 	年底	c=1 d=1.60076e-35 t=25120
nian qian 	年前	c=2 d=0.154896 t=25120
nian qing ren 	年輕人	c=1 d=1.78319e-40 t=25120
nian xian 	年限	c=1 d=1.31197e-18 t=25120
niao 	尿	c=2 d=4.77764e-17 t=25120
niao 	鳥	c=5 d=2.82057e-10 t=25120
niao chao 	鳥巢	c=1 d=0.0889216 t=25120
niao shu 	鳥叔	c=4 d=9.80532e-05 t=25120
ning yuan 	寧願	c=1 d=1.06346e-18 t=25120
niu 	牛	c=1 d=5.51263e-24 t=25120
nong chang 	農場	c=1 d=2.5309e-42 t=25120
nong cun 	農村	c=2 d=0.410656 t=25120
nong mi 	濃密	c=1 d=1.08661e-36 t=25120
nong nong 	濃濃	c=1 d=1.14727e-28 t=25120
nong xian 	農閒	c=1 d=1.4308e-38 t=25120
nu 	怒	c=3 d=3.65659e-18 t=25120
nu li 	努力	c=2 d=1.51144e-36 t=25120
nu shan 	怒刪	c=1 d=1.6013e-39 t=25120
nu zhi sha 	怒之煞	c=2 d=7.13688e-25 t=25120
nuan 	暖	c=1 d=2.03358e-27 t=25120
nuan chuang 	暖牀	c=1 d=6.69956e-24 t=25120
nuan se diao 	暖色調	c=1 d=6.57494e-09 t=25120
nuan shou 	暖手	c=1 d=9.94472e-24 t=25120
nuo 	諾	c=0 d=1.30654e-29 t=25120
nv 	女	c=8 d=0.00521551 t=25120
nv piao 	女票	c=1 d=1.97684e-47 t=25120
nv pu 	女僕	c=1 d=0.0106202 t=25120
nv shen 	女神	c=1 d=1.96364e-27 t=25120
nv wang 	女王	c=3 d=1.10078e-12 t=25120
nv xing 	女性	c=4 d=1.45212e-15 t=25120
nv yong 	女用	c=1 d=2.52961e-36 t=25120
nv you 	女友	c=3 d=5.36904e-37 t=25120
nv zhu 	女主	c=1 d=8.59217e-10 t=25120
nve 	虐	c=6 d=4.93161e-22 t=25120
nve cai 	虐菜	c=1 d=9.49743e-12 t=25120
o 	哦	c=26 d=1.33658 t=25120
o le 	哦了	c=1 d=1.4547e-27 t=25120
ou 	歐	c=4 d=0.00302241 t=25120
ou ba 	歐巴	c=1 d=0.196912 t=25120
ou er 	偶爾	c=2 d=1.62944e-38 t=25120
ou guan 	歐冠	c=8 d=0.000721394 t=25120
ou mei 	歐美	c=1 d=7.55631e-28 t=25120
ou niao 	鷗鳥	c=0 d=2.16345e-21 t=25120
ou niao gong 	鷗鳥貢	c=1 d=2.17429e-20 t=25120
ou xiang ju 	偶像劇	c=1 d=2.77461e-06 t=25120
ou ya 	歐亞	c=1 d=4.86737e-30 t=25120
ou zhou 	歐洲	c=1 d=0.00106477 t=25120
ou zhou bei 	歐洲盃	c=2 d=0.00035443 t=25120
pa 	啪	c=0 d=2.2094e-33 t=25120
pa 	怕	c=4 d=7.1474e-12 t=25120
pa 	爬	c=1 d=2.1287e-06 t=25120
pa chong 	爬蟲	c=1 d=2.11808e-06 t=25120
pa du 	帕度	c=1 d=2.45819e-52 t=25120
pa pa 	啪啪	c=0 d=2.2094e-33 t=25120
pa pa 	耙耙	c=2 d=0.472367 t=25120
pa pa pa 	啪啪啪	c=2 d=4.78743e-32 t=25120
pa shi 	怕事	c=1 d=3.17176e-21 t=25120
pa ye 	帕耶	c=1 d=2.1316e-22 t=25120
pa zhou 	琶洲	c=2 d=4.30582e-29 t=25120
pai 	拍	c=8 d=0.50409 t=25120
pai 	排	c=3 d=1.78325e-11 t=25120
pai 	派	c=3 d=0.941765 t=25120
pai 	牌	c=1 d=7.77451e-10 t=25120
pai chu 	排除	c=0 d=2.59541e-45 t=25120
pai chu suo 	派出所	c=1 d=2.17237e-39 t=25120
pai dui 	排隊	c=6 d=1.11128e-06 t=25120
pai dui shou 	排隊收	c=1 d=2.06039e-34 t=25120
pai fang 	牌坊	c=1 d=0.527292 t=25120
pai jiu 	牌九	c=1 d=1.66235e-38 t=25120
pai tie 	派貼	c=1 d=2.03075e-40 t=25120
pai tuo 	拍拖	c=1 d=7.62681e-49 t=25120
pai xia 	拍下	c=1 d=1.03453e-17 t=25120
pai zhao 	拍照	c=3 d=2.46765e-09 t=25120
pai zi 	牌子	c=3 d=1.6741e-25 t=25120
pan 	判	c=2 d=9.08212e-33 t=25120
pan 	盤	c=13 d=0.0387742 t=25120
pan tu 	叛徒	c=3 d=1.79785e-18 t=25120
pang bian 	旁邊	c=1 d=4.15985e-35 t=25120
pang qiao ce ji 	旁敲側擊	c=1 d=1.9003e-53 t=25120
pao 	炮	c=1 d=3.8057e-47 t=25120
pao 	跑	c=6 d=1.08646e-05 t=25120
pao fen 	跑分	c=1 d=5.76735e-26 t=25120
pao kai 	拋開	c=2 d=0.130029 t=25120
pao le 	跑了	c=0 d=5.77521e-43 t=25120
